,Current Injected (pA),,,,,,,,,,,,
Time (ms),300,350,400,450,500,550,600,,,,,,
7.20,-5.93E-02,-5.94E-02,-5.93E-02,-5.92E-02,-5.90E-02,-5.99E-02,-5.92E-02,,,,,,
7.30,-5.94E-02,-5.93E-02,-5.94E-02,-5.92E-02,-5.92E-02,-5.98E-02,-5.91E-02,,,,,,
7.40,-5.95E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.93E-02,-5.98E-02,-5.90E-02,,,,,,
7.50,-5.96E-02,-5.93E-02,-5.94E-02,-5.92E-02,-5.94E-02,-5.98E-02,-5.91E-02,,,,,,
7.60,-5.95E-02,-5.96E-02,-5.93E-02,-5.90E-02,-5.93E-02,-5.98E-02,-5.91E-02,,,,,,
7.70,-5.94E-02,-5.94E-02,-5.94E-02,-5.91E-02,-5.94E-02,-5.98E-02,-5.91E-02,,,,,,
7.80,-5.94E-02,-5.94E-02,-5.94E-02,-5.92E-02,-5.92E-02,-5.98E-02,-5.92E-02,,,,,,
7.90,-5.95E-02,-5.92E-02,-5.95E-02,-5.91E-02,-5.95E-02,-5.99E-02,-5.90E-02,,,,,,
8.00,-5.95E-02,-5.92E-02,-5.94E-02,-5.90E-02,-5.94E-02,-5.99E-02,-5.92E-02,,,,,,
8.10,-5.94E-02,-5.93E-02,-5.92E-02,-5.91E-02,-5.92E-02,-5.99E-02,-5.90E-02,,,,,,
8.20,-5.94E-02,-5.94E-02,-5.93E-02,-5.92E-02,-5.94E-02,-5.99E-02,-5.92E-02,,,,,,
8.30,-5.95E-02,-5.94E-02,-5.95E-02,-5.91E-02,-5.94E-02,-5.98E-02,-5.90E-02,,,,,,
8.40,-5.94E-02,-5.94E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.98E-02,-5.93E-02,,,,,,
8.50,-5.93E-02,-5.95E-02,-5.93E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.92E-02,,,,,,
8.60,-5.94E-02,-5.92E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.97E-02,-5.92E-02,,,,,,
8.70,-5.96E-02,-5.95E-02,-5.95E-02,-5.90E-02,-5.92E-02,-5.98E-02,-5.91E-02,,,,,,
8.80,-5.94E-02,-5.95E-02,-5.95E-02,-5.92E-02,-5.92E-02,-5.99E-02,-5.92E-02,,,,,,
8.90,-5.95E-02,-5.94E-02,-5.93E-02,-5.92E-02,-5.92E-02,-5.99E-02,-5.92E-02,,,,,,
9.00,-5.94E-02,-5.92E-02,-5.94E-02,-5.93E-02,-5.95E-02,-5.97E-02,-5.91E-02,,,,,,
9.10,-5.94E-02,-5.92E-02,-5.93E-02,-5.91E-02,-5.94E-02,-5.97E-02,-5.91E-02,,,,,,
9.20,-5.96E-02,-5.94E-02,-5.92E-02,-5.92E-02,-5.96E-02,-5.98E-02,-5.93E-02,,,,,,
9.30,-5.95E-02,-5.93E-02,-5.92E-02,-5.91E-02,-5.94E-02,-5.98E-02,-5.92E-02,,,,,,
9.40,-5.96E-02,-5.94E-02,-5.94E-02,-5.92E-02,-5.94E-02,-6.01E-02,-5.92E-02,,,,,,
9.50,-5.94E-02,-5.93E-02,-5.93E-02,-5.92E-02,-5.93E-02,-5.98E-02,-5.93E-02,,,,,,
9.60,-5.94E-02,-5.94E-02,-5.93E-02,-5.91E-02,-5.93E-02,-5.97E-02,-5.91E-02,,,,,,
9.70,-5.95E-02,-5.94E-02,-5.93E-02,-5.91E-02,-5.93E-02,-5.99E-02,-5.92E-02,,,,,,
9.80,-5.93E-02,-5.94E-02,-5.94E-02,-5.91E-02,-5.94E-02,-5.98E-02,-5.91E-02,,,,,,
9.90,-5.93E-02,-5.93E-02,-5.95E-02,-5.91E-02,-5.92E-02,-5.98E-02,-5.91E-02,,,,,,
10.00,-5.94E-02,-5.94E-02,-5.93E-02,-5.93E-02,-5.92E-02,-6.00E-02,-5.90E-02,,,,,,
10.10,-5.95E-02,-5.93E-02,-5.93E-02,-5.93E-02,-5.93E-02,-5.97E-02,-5.91E-02,,,,,,
10.20,-5.68E-02,-5.63E-02,-5.61E-02,-5.55E-02,-5.51E-02,-5.53E-02,-5.42E-02,,,,,,
10.30,-5.67E-02,-5.63E-02,-5.58E-02,-5.50E-02,-5.47E-02,-5.47E-02,-5.35E-02,,,,,,
10.40,-5.63E-02,-5.59E-02,-5.52E-02,-5.46E-02,-5.43E-02,-5.42E-02,-5.29E-02,,,,,,
10.50,-5.62E-02,-5.55E-02,-5.48E-02,-5.42E-02,-5.37E-02,-5.38E-02,-5.24E-02,,,,,,
10.60,-5.58E-02,-5.54E-02,-5.46E-02,-5.38E-02,-5.35E-02,-5.33E-02,-5.20E-02,,,,,,
10.70,-5.55E-02,-5.48E-02,-5.42E-02,-5.33E-02,-5.29E-02,-5.26E-02,-5.14E-02,,,,,,
10.80,-5.53E-02,-5.46E-02,-5.40E-02,-5.30E-02,-5.26E-02,-5.22E-02,-5.10E-02,,,,,,
10.90,-5.52E-02,-5.44E-02,-5.34E-02,-5.28E-02,-5.24E-02,-5.19E-02,-5.05E-02,,,,,,
11.00,-5.48E-02,-5.39E-02,-5.32E-02,-5.24E-02,-5.17E-02,-5.16E-02,-5.02E-02,,,,,,
11.10,-5.46E-02,-5.39E-02,-5.29E-02,-5.19E-02,-5.13E-02,-5.11E-02,-4.96E-02,,,,,,
11.20,-5.46E-02,-5.35E-02,-5.27E-02,-5.19E-02,-5.11E-02,-5.07E-02,-4.93E-02,,,,,,
