Model,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
6591,0.230457,1.390687,3.778819,3.777911,5.074829,1.113894,1.97598,0.151394
6600,0.239467,1.480919,1.374035,3.566066,3.815966,0.522315,1.01781,0.045165
6687,0.1229,0.863154,2.876299,2.241895,0.559919,0.467712,0.673384,0.093061
6708,0.1111,1.185103,3.164773,2.632469,19.278808,3.712497,1.664974,0.071603
6863,0.057855,0.980495,2.276833,2.154848,12.833286,1.959499,0.652996,0.012019
6878,0.24964,1.729015,2.619384,3.777385,8.69111,3.689132,1.14616,0.032394
6952,0.160888,1.225854,0.601072,3.542628,6.127349,0.419726,1.859959,0.180961
6965,0.21949,0.914428,2.321243,2.144813,2.846424,2.489033,0.435962,0.109362
6974,0.315501,1.097256,0.514117,2.300318,7.797107,3.983328,1.948365,0.078811
6981,0.053675,1.166525,3.704616,2.343071,8.720874,3.792623,1.550455,0.046539
7089,0.170989,1.320231,2.950188,2.858466,5.474055,3.176768,1.976214,0.022004
7099,0.285352,1.253255,3.466795,3.208697,2.01917,0.243257,0.780339,0.026098
7126,0.22318,1.099139,0.8181,2.757783,15.600569,1.711861,1.709073,0.092763
7148,0.263258,1.054927,0.681142,3.216574,6.030968,1.140212,1.223667,0.079796
7160,0.11717,0.613918,2.232803,1.134799,0.794724,2.332848,0.263778,0.081512
7174,0.301496,1.193468,2.302648,3.596718,15.966106,2.03036,1.194843,0.061165
7189,0.115872,1.55792,0.843041,3.03685,6.681678,2.769686,1.472398,0.075659
7210,0.341187,1.682904,1.447547,3.600725,6.716728,2.355883,1.848031,0.020738
7304,0.150785,1.634371,1.692707,3.813081,2.255957,0.238806,0.319484,0.129208
7357,0.161025,1.270413,2.8182,3.958331,3.591364,1.812305,0.938974,0.180046
7431,0.335497,0.314413,1.551641,0.244951,0.968803,2.790568,1.773342,0.146323
7496,0.000528,1.412067,2.862855,3.333997,23.398704,1.034787,1.782076,0.154988
7580,0.246134,0.868659,3.244305,2.121799,1.076006,3.174015,0.970193,0.176054
7619,0.055483,1.386263,2.271352,3.964998,7.396834,0.355528,1.34134,0.168363
7633,0.108008,1.089008,3.659609,2.810043,7.885422,1.348146,0.439286,0.101325
7667,0.287777,1.171691,3.411444,2.005101,2.312478,1.511592,0.437318,0.134478
7682,0.2019,0.329328,2.82669,0.103431,1.317993,2.68687,1.427114,0.093625
7784,0.019304,2.045156,2.584068,3.692275,17.05318,3.781818,1.968277,0.150087
7909,0.150284,1.178939,2.039694,3.746045,1.768817,1.061492,0.498707,0.158222
7977,0.035992,1.871241,1.500057,3.900575,5.942831,3.163963,1.368089,0.077519
8220,0.024979,1.735195,0.003122,3.632818,6.903967,3.575003,1.077185,0.132742
8257,0.382712,1.567985,2.050973,3.965263,7.071861,2.510026,1.212489,0.091218
8288,0.351287,1.096359,3.000678,3.525282,8.288935,0.730836,0.832392,0.095261
8332,0.210541,1.004218,2.000103,2.22477,11.052075,0.044756,1.616954,0.070896
8385,0.046241,1.436256,1.674694,1.985467,9.515762,2.889942,1.692751,0.143864
8405,0.194711,1.036552,0.086356,3.027465,5.596276,3.009903,1.001665,0.089908
8421,0.367562,1.078051,2.251907,2.469564,3.80156,2.64469,1.405056,0.027584
8489,0.223758,0.881269,2.334846,1.424784,5.714885,3.722241,1.131384,0.012956
8512,0.224613,0.847235,3.876348,2.024459,9.08688,2.80307,1.600303,0.145053
8538,0.044973,1.086636,1.14115,1.742693,2.944029,3.562092,1.623813,0.095804
8715,0.279919,1.155838,2.246041,3.184341,0.082409,3.639396,0.329935,0.022866
8786,0.118309,1.06738,0.490202,2.097729,2.654065,3.507602,0.651684,0.019482
8844,0.029014,1.164361,2.963969,1.719178,7.57236,3.351106,0.926825,0.055047
