Model,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
23,0.089639,1.556058,0.5594899999999999,3.6033440000000003,11.154935,1.665256,1.8323099999999999,0.196457
24,0.2409,1.238593,2.8750150000000003,3.068022,12.654200999999999,3.604915,1.5899370000000002,0.187059
25,0.130375,1.391472,0.16354000000000002,2.594331,12.871732000000002,2.520516,1.397586,0.037357999999999995
26,0.33172399999999996,1.428864,0.797778,2.991025,13.516242000000002,2.228053,1.8637849999999998,0.157745
27,0.007663,0.781821,3.8921080000000003,1.7992290000000002,1.071628,2.574152,0.11158299999999999,0.018423
28,0.06774,1.539209,3.952636,2.951584,12.807317999999999,2.963896,1.6996810000000002,0.096288
29,0.0014140000000000001,1.4057309999999998,0.081105,3.447814,16.674773000000002,0.328888,1.667555,0.002889
30,0.23090100000000002,1.343621,0.025393000000000002,3.7878550000000004,5.8024569999999995,3.768157,1.1924549999999998,0.07961599999999999
31,0.253191,1.1367610000000001,1.51194,2.611695,14.166194,3.259202,1.345122,0.005922
32,0.277737,0.912193,3.9659760000000004,1.8754939999999998,5.4530400000000006,3.406187,1.7865849999999999,0.092073
33,0.137188,2.0717369999999997,2.381406,3.815496,3.415283,3.10052,0.7920159999999999,0.139485
34,0.293739,1.258491,2.745932,3.914224,11.997247,0.027454000000000003,0.846806,0.12780899999999998
35,0.18670499999999998,1.6532209999999998,0.957023,3.9011709999999997,15.182537,0.805343,1.771511,0.11878599999999999
36,0.38563000000000003,1.130479,0.061055,2.0810009999999997,4.802616,3.69547,0.95668,0.028176
37,0.033533,0.9252049999999999,1.937368,1.564138,13.539604999999998,1.543798,1.900406,0.145866
38,0.28459,1.440912,2.3078220000000003,3.917302,2.652499,1.8719880000000002,1.0732959999999998,0.17340899999999998
39,0.162884,0.9162,0.353175,2.3182110000000002,8.236348,2.836191,1.8385770000000001,0.16987
40,0.06993300000000001,0.476047,1.692349,0.698476,8.348664999999999,3.5952879999999996,1.412477,0.014688
41,0.123938,0.812825,2.237498,1.756703,8.682872,1.40046,0.989612,0.13552899999999998
42,0.398456,1.425505,1.0722459999999998,3.202309,10.009407000000001,2.549256,1.8521290000000001,0.103343
43,0.265266,0.966427,2.193493,1.535839,4.125605999999999,3.338103,1.530232,0.132492
44,0.276376,0.63575,2.57433,1.284558,3.741829,3.815544,1.9700509999999998,0.16658599999999998
45,0.060779,1.3435110000000001,3.946701,2.551088,10.032721,3.721257,1.662897,0.140988
46,0.215781,1.521224,2.002919,3.1530080000000003,12.482049,3.341472,1.884157,0.131156
47,0.037607,1.8648930000000001,1.246262,3.233648,8.445632000000002,3.9945410000000003,0.8748239999999999,0.174028
48,0.1553,1.079029,0.129719,3.18476,3.822129,3.2817730000000003,0.399306,0.120547
