,Current Injected (pA),,,,,,,,,,,,,
Time (ms),800,850,900,950,1000,1050,,,,,,,,
7.60,-5.98E-02,-5.92E-02,-5.94E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
7.70,-5.98E-02,-5.92E-02,-5.94E-02,-5.96E-02,-5.95E-02,-5.95E-02,,,,,,,,
7.80,-5.97E-02,-5.92E-02,-5.93E-02,-5.96E-02,-5.95E-02,-5.96E-02,,,,,,,,
7.90,-5.98E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.96E-02,-5.95E-02,,,,,,,,
8.00,-5.98E-02,-5.92E-02,-5.94E-02,-5.97E-02,-5.96E-02,-5.95E-02,,,,,,,,
8.10,-5.98E-02,-5.92E-02,-5.93E-02,-5.96E-02,-5.95E-02,-5.95E-02,,,,,,,,
8.20,-5.97E-02,-5.92E-02,-5.93E-02,-5.97E-02,-5.95E-02,-5.96E-02,,,,,,,,
8.30,-5.99E-02,-5.92E-02,-5.95E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
8.40,-5.97E-02,-5.92E-02,-5.93E-02,-5.96E-02,-5.94E-02,-5.97E-02,,,,,,,,
8.50,-5.99E-02,-5.92E-02,-5.93E-02,-5.96E-02,-5.96E-02,-5.95E-02,,,,,,,,
8.60,-5.98E-02,-5.93E-02,-5.93E-02,-5.95E-02,-5.94E-02,-5.96E-02,,,,,,,,
8.70,-5.97E-02,-5.93E-02,-5.92E-02,-5.96E-02,-5.93E-02,-5.96E-02,,,,,,,,
8.80,-5.98E-02,-5.92E-02,-5.93E-02,-5.95E-02,-5.94E-02,-5.96E-02,,,,,,,,
8.90,-5.99E-02,-5.92E-02,-5.92E-02,-5.97E-02,-5.94E-02,-5.96E-02,,,,,,,,
9.00,-5.97E-02,-5.92E-02,-5.93E-02,-5.95E-02,-5.95E-02,-5.95E-02,,,,,,,,
9.10,-5.99E-02,-5.93E-02,-5.93E-02,-5.96E-02,-5.94E-02,-5.95E-02,,,,,,,,
9.20,-5.98E-02,-5.92E-02,-5.93E-02,-5.95E-02,-5.95E-02,-5.95E-02,,,,,,,,
9.30,-6.00E-02,-5.92E-02,-5.94E-02,-5.96E-02,-5.93E-02,-5.94E-02,,,,,,,,
9.40,-6.00E-02,-5.92E-02,-5.93E-02,-5.96E-02,-5.93E-02,-5.96E-02,,,,,,,,
9.50,-5.99E-02,-5.93E-02,-5.94E-02,-5.94E-02,-5.94E-02,-5.95E-02,,,,,,,,
9.60,-5.99E-02,-5.92E-02,-5.93E-02,-5.94E-02,-5.93E-02,-5.96E-02,,,,,,,,
9.70,-5.99E-02,-5.92E-02,-5.94E-02,-5.96E-02,-5.95E-02,-5.95E-02,,,,,,,,
9.80,-5.99E-02,-5.91E-02,-5.94E-02,-5.95E-02,-5.95E-02,-5.95E-02,,,,,,,,
9.90,-5.99E-02,-5.93E-02,-5.92E-02,-5.95E-02,-5.95E-02,-5.95E-02,,,,,,,,
10.00,-6.00E-02,-5.90E-02,-5.94E-02,-5.95E-02,-5.96E-02,-5.95E-02,,,,,,,,
10.10,-6.00E-02,-5.92E-02,-5.92E-02,-5.96E-02,-5.94E-02,-5.96E-02,,,,,,,,
10.20,-5.57E-02,-5.47E-02,-5.51E-02,-5.53E-02,-5.49E-02,-5.48E-02,,,,,,,,
10.30,-5.44E-02,-5.32E-02,-5.36E-02,-5.37E-02,-5.33E-02,-5.31E-02,,,,,,,,
10.40,-5.32E-02,-5.19E-02,-5.23E-02,-5.21E-02,-5.18E-02,-5.13E-02,,,,,,,,
10.50,-5.21E-02,-5.08E-02,-5.09E-02,-5.07E-02,-5.02E-02,-4.99E-02,,,,,,,,
10.60,-5.09E-02,-4.94E-02,-4.96E-02,-4.94E-02,-4.88E-02,-4.84E-02,,,,,,,,
10.70,-4.98E-02,-4.82E-02,-4.83E-02,-4.80E-02,-4.75E-02,-4.68E-02,,,,,,,,
10.80,-4.86E-02,-4.73E-02,-4.72E-02,-4.66E-02,-4.61E-02,-4.54E-02,,,,,,,,
10.90,-4.75E-02,-4.62E-02,-4.60E-02,-4.53E-02,-4.47E-02,-4.39E-02,,,,,,,,
11.00,-4.66E-02,-4.49E-02,-4.47E-02,-4.41E-02,-4.33E-02,-4.25E-02,,,,,,,,
11.10,-4.55E-02,-4.38E-02,-4.36E-02,-4.28E-02,-4.20E-02,-4.12E-02,,,,,,,,
11.20,-4.45E-02,-4.29E-02,-4.23E-02,-4.16E-02,-4.07E-02,-3.99E-02,,,,,,,,
11.30,-4.35E-02,-4.17E-02,-4.12E-02,-4.03E-02,-3.94E-02,-3.86E-02,,,,,,,,
11.40,-4.24E-02,-4.05E-02,-4.00E-02,-3.92E-02,-3.82E-02,-3.71E-02,,,,,,,,
11.50,-4.14E-02,-3.95E-02,-3.89E-02,-3.80E-02,-3.69E-02,-3.58E-02,,,,,,,,
11.60,-4.03E-02,-3.85E-02,-3.79E-02,-3.67E-02,-3.58E-02,-3.46E-02,,,,,,,,
11.70,-3.96E-02,-3.74E-02,-3.68E-02,-3.56E-02,-3.44E-02,-3.34E-02,,,,,,,,
11.80,-3.85E-02,-3.65E-02,-3.58E-02,-3.45E-02,-3.32E-02,-3.22E-02,,,,,,,,
11.90,-3.76E-02,-3.54E-02,-3.48E-02,-3.35E-02,-3.21E-02,-3.09E-02,,,,,,,,
12.00,-3.67E-02,-3.46E-02,-3.37E-02,-3.25E-02,-3.11E-02,-2.98E-02,,,,,,,,
12.10,-3.57E-02,-3.36E-02,-3.27E-02,-3.13E-02,-2.99E-02,-2.87E-02,,,,,,,,
12.20,-3.47E-02,-3.26E-02,-3.18E-02,-3.02E-02,-2.89E-02,-2.76E-02,,,,,,,,
12.30,-3.40E-02,-3.16E-02,-3.08E-02,-2.93E-02,-2.77E-02,-2.64E-02,,,,,,,,
12.40,-3.33E-02,-3.09E-02,-2.96E-02,-2.83E-02,-2.67E-02,-2.54E-02,,,,,,,,
12.50,-3.22E-02,-3.00E-02,-2.89E-02,-2.72E-02,-2.57E-02,-2.42E-02,,,,,,,,
12.60,-3.15E-02,-2.91E-02,-2.75E-02,-2.64E-02,-2.46E-02,-2.32E-02,,,,,,,,
12.70,-3.08E-02,-2.83E-02,-2.71E-02,-2.54E-02,-2.36E-02,-2.22E-02,,,,,,,,
12.80,-2.99E-02,-2.74E-02,-2.61E-02,-2.45E-02,-2.26E-02,-2.13E-02,,,,,,,,
12.90,-2.92E-02,-2.65E-02,-2.53E-02,-2.36E-02,-2.16E-02,-2.02E-02,,,,,,,,
13.00,-2.84E-02,-2.58E-02,-2.45E-02,-2.27E-02,-2.07E-02,-1.93E-02,,,,,,,,
13.10,-2.76E-02,-2.51E-02,-2.36E-02,-2.18E-02,-1.99E-02,-1.84E-02,,,,,,,,
13.20,-2.69E-02,-2.43E-02,-2.28E-02,-2.11E-02,-1.91E-02,-1.74E-02,,,,,,,,
13.30,-2.61E-02,-2.35E-02,-2.21E-02,-2.02E-02,-1.81E-02,-1.65E-02,,,,,,,,
13.40,-2.55E-02,-2.28E-02,-2.12E-02,-1.94E-02,-1.73E-02,-1.57E-02,,,,,,,,
13.50,-2.49E-02,-2.21E-02,-2.04E-02,-1.86E-02,-1.66E-02,-1.49E-02,,,,,,,,
13.60,-2.42E-02,-2.15E-02,-1.98E-02,-1.78E-02,-1.57E-02,-1.40E-02,,,,,,,,
13.70,-2.36E-02,-2.07E-02,-1.89E-02,-1.72E-02,-1.49E-02,-1.31E-02,,,,,,,,
13.80,-2.28E-02,-1.99E-02,-1.84E-02,-1.65E-02,-1.42E-02,-1.22E-02,,,,,,,,
13.90,-2.24E-02,-1.94E-02,-1.78E-02,-1.57E-02,-1.33E-02,-1.15E-02,,,,,,,,
14.00,-2.18E-02,-1.89E-02,-1.72E-02,-1.51E-02,-1.27E-02,-1.08E-02,,,,,,,,
14.10,-2.12E-02,-1.83E-02,-1.65E-02,-1.44E-02,-1.20E-02,-9.98E-03,,,,,,,,
14.20,-2.07E-02,-1.78E-02,-1.60E-02,-1.39E-02,-1.13E-02,-9.08E-03,,,,,,,,
14.30,-2.04E-02,-1.71E-02,-1.54E-02,-1.32E-02,-1.05E-02,-8.30E-03,,,,,,,,
14.40,-1.98E-02,-1.68E-02,-1.49E-02,-1.26E-02,-9.80E-03,-7.64E-03,,,,,,,,
14.50,-1.94E-02,-1.63E-02,-1.43E-02,-1.21E-02,-8.92E-03,-6.83E-03,,,,,,,,
14.60,-1.88E-02,-1.58E-02,-1.39E-02,-1.16E-02,-8.21E-03,-5.93E-03,,,,,,,,
14.70,-1.84E-02,-1.55E-02,-1.34E-02,-1.10E-02,-7.49E-03,-5.02E-03,,,,,,,,
14.80,-1.81E-02,-1.50E-02,-1.30E-02,-1.05E-02,-6.71E-03,-4.15E-03,,,,,,,,
14.90,-1.78E-02,-1.47E-02,-1.25E-02,-9.95E-03,-5.80E-03,-3.03E-03,,,,,,,,
15.00,-1.75E-02,-1.45E-02,-1.22E-02,-9.55E-03,-5.02E-03,-1.97E-03,,,,,,,,
15.10,-1.72E-02,-1.43E-02,-1.17E-02,-9.02E-03,-4.18E-03,-9.05E-04,,,,,,,,
15.20,-1.69E-02,-1.41E-02,-1.14E-02,-8.52E-03,-3.06E-03,4.99E-04,,,,,,,,
15.30,-1.67E-02,-1.38E-02,-1.10E-02,-8.08E-03,-2.00E-03,2.22E-03,,,,,,,,
15.40,-1.65E-02,-1.35E-02,-1.09E-02,-7.71E-03,-9.05E-04,4.02E-03,,,,,,,,
15.50,-1.63E-02,-1.33E-02,-1.06E-02,-7.05E-03,5.30E-04,6.24E-03,,,,,,,,
15.60,-1.63E-02,-1.33E-02,-1.03E-02,-6.52E-03,2.25E-03,8.64E-03,,,,,,,,
15.70,-1.62E-02,-1.33E-02,-1.00E-02,-5.77E-03,4.09E-03,1.16E-02,,,,,,,,
15.80,-1.63E-02,-1.34E-02,-1.00E-02,-5.09E-03,6.24E-03,1.49E-02,,,,,,,,
15.90,-1.61E-02,-1.33E-02,-9.73E-03,-4.49E-03,8.64E-03,1.87E-02,,,,,,,,
